Date,US10U
2017-10-05 00:00:00+00:00,-0.00142458
2017-10-06 00:00:00+00:00,-0.00154293
2017-10-08 00:00:00+00:00,-0.00084576
2017-10-09 00:00:00+00:00,-0.00014639
2017-10-10 00:00:00+00:00,0.00020329
2017-10-11 00:00:00+00:00,0.00043622
2017-10-12 00:00:00+00:00,0.00241869
2017-10-13 00:00:00+00:00,0.00090064
2017-10-15 00:00:00+00:00,0.00287537
2017-10-16 00:00:00+00:00,-0.00049358
2017-10-17 00:00:00+00:00,-0.00176951
2017-10-18 00:00:00+00:00,0.00066637
2017-10-19 00:00:00+00:00,-0.00293160
2017-10-20 00:00:00+00:00,-0.00154367
2017-10-22 00:00:00+00:00,-0.00317786
2017-10-23 00:00:00+00:00,0.00137268
2017-10-24 00:00:00+00:00,-0.00026481
2017-10-25 00:00:00+00:00,-0.00283394
2017-10-26 00:00:00+00:00,-0.00108489
2017-10-27 00:00:00+00:00,-0.00307898
2017-10-29 00:00:00+00:00,0.00549691
2017-10-30 00:00:00+00:00,0.00008632
2017-10-31 00:00:00+00:00,0.00347631
2017-11-01 00:00:00+00:00,-0.00271276
2017-11-02 00:00:00+00:00,0.00253828
2017-11-03 00:00:00+00:00,0.00159901
2017-11-05 00:00:00+00:00,0.00031639
2017-11-06 00:00:00+00:00,0.00031599
2017-11-07 00:00:00+00:00,0.00089640
2017-11-08 00:00:00+00:00,0.00159237
2017-11-09 00:00:00+00:00,-0.00223792
2017-11-10 00:00:00+00:00,-0.00305637
2017-11-12 00:00:00+00:00,-0.00364848
2017-11-13 00:00:00+00:00,0.00125340
2017-11-14 00:00:00+00:00,-0.00155453
2017-11-15 00:00:00+00:00,0.00382747
2017-11-16 00:00:00+00:00,0.00101429
2017-11-17 00:00:00+00:00,-0.00073412
2017-11-19 00:00:00+00:00,0.00124675
2017-11-20 00:00:00+00:00,0.00101230
2017-11-21 00:00:00+00:00,-0.00340848
2017-11-22 00:00:00+00:00,0.00101416
2017-11-23 00:00:00+00:00,0.00136271
2017-11-24 00:00:00+00:00,-0.00003531
2017-11-26 00:00:00+00:00,-0.00038447
2017-11-27 00:00:00+00:00,-0.00050060
2017-11-28 00:00:00+00:00,0.00147824
2017-11-29 00:00:00+00:00,0.00031311
2017-11-30 00:00:00+00:00,-0.00433708
2017-12-01 00:00:00+00:00,-0.00388851
2017-12-03 00:00:00+00:00,-0.00120736
2017-12-04 00:00:00+00:00,0.00125440
2017-12-05 00:00:00+00:00,0.00090112
2017-12-06 00:00:00+00:00,0.00417951
2017-12-07 00:00:00+00:00,0.00019732
2017-12-08 00:00:00+00:00,-0.00260037
2017-12-10 00:00:00+00:00,-0.00026942
2017-12-11 00:00:00+00:00,0.00008096
2017-12-12 00:00:00+00:00,0.00078093
2017-12-13 00:00:00+00:00,-0.00190497
2017-12-14 00:00:00+00:00,0.00288882
2017-12-15 00:00:00+00:00,0.00089680
2017-12-17 00:00:00+00:00,-0.00061940
2017-12-18 00:00:00+00:00,0.00019582
2017-12-19 00:00:00+00:00,-0.00248719
2017-12-20 00:00:00+00:00,-0.00518164
2017-12-21 00:00:00+00:00,-0.00215249
2017-12-22 00:00:00+00:00,0.00008066
2017-12-25 00:00:00+00:00,-0.00086119
2017-12-26 00:00:00+00:00,0.00008047
2017-12-27 00:00:00+00:00,0.00137357
2017-12-28 00:00:00+00:00,0.00396092
2017-12-29 00:00:00+00:00,-0.00015582
2018-01-01 00:00:00+00:00,0.00101609
2018-01-02 00:00:00+00:00,-0.00027333
2018-01-03 00:00:00+00:00,-0.00378607
2018-01-04 00:00:00+00:00,0.00066622
2018-01-05 00:00:00+00:00,0.00007845
2018-01-07 00:00:00+00:00,-0.00180060
